"","houses","numocc","numFem","numMale","oldest","youngest","headsex","headage","net","under5","under1","under18","periph","lat","lon","hspray","site","elev","lang"
"908","KBK_12_0031",5,4,1,50.86,0.83,"F",50.86,5,1,1,4,0,0.189883,34.968183,0,1,1794,5
"909","CHP_4_0016",11,3,8,NA,NA,"M",47.35,2,2,1,4,1,0.189933,34.95935,0,1,1738,4
"910","CHP_1_0101",6,4,2,58.94,17.91,"M",58.94,0,0,0,1,0,0.190033,34.93395,0,1,1679,4
"911","CHP_1_0103",4,4,0,35.92,8.9,"F",35.92,0,0,0,3,0,0.190117,34.933767,0,1,1673,4
"912","KBK_12_0027",6,3,3,44.85,0.82,"M",44.85,3,2,1,4,0,0.190167,34.969017,0,1,1799,5
"913","CHP_1_0115",6,4,2,38.92,0.9,"M",38.92,3,1,1,4,0,0.190367,34.930433,0,1,1645,4
"914","CHP_4_0078",8,3,5,45.84,2.14,"F",45.84,4,1,0,3,0,0.190383,34.954467,0,1,1732,5
"915","CHP_1_0104",5,2,3,27.92,2.9,"M",27.92,0,1,0,2,1,0.19045,34.933617,0,1,1671,4
"916","CHP_4_0020",8,3,5,38.84,3.73,"M",38.84,0,1,0,4,1,0.19055,34.958883,0,1,1727,2
"917","CHP_1_0114",5,3,2,32.92,2.9,"M",32.92,0,2,0,3,0,0.19055,34.931083,0,1,1651,4
"918","CHP_4_0018",5,4,1,58.35,10.15,"M",58.35,3,0,0,3,0,0.190617,34.959533,0,1,1732,2
"919","CHP_4_0022",6,4,2,44.59,5.73,"M",44.59,0,0,0,3,1,0.1907,34.95855,0,1,1730,2
"920","CHP_4_0024",4,3,1,64.44,5.56,"F",64.44,2,0,0,2,0,0.19075,34.958933,0,1,1731,2
"921","CHP_1_0112",3,3,0,67.94,29.92,"F",67.94,0,0,0,0,0,0.19075,34.9311,0,1,1649,4
"922","CHP_1_0113",5,1,4,29.92,2.9,"M",29.92,0,2,0,3,0,0.1908,34.931167,0,1,1652,4
"923","KBK_12_0025",2,1,1,76.88,68.87,"M",76.88,2,0,0,0,0,0.190833,34.97045,0,1,1806,5
"924","CHP_1_0111",6,4,2,38.92,1.9,"M",38.92,0,2,0,4,0,0.190833,34.93165,0,1,1662,4
"925","CHP_4_0082",5,3,2,32.92,2.73,"F",32.92,0,2,0,4,0,0.1909,34.95545,0,1,1730,4
"926","CHP_1_0107",2,2,0,64.94,22.91,"F",64.94,0,0,0,0,0,0.19095,34.932133,0,1,1666,4
"927","CHP_4_0034",5,3,2,95.87,1.14,"M",37.25,0,2,0,2,0,0.191067,34.958083,0,1,1720,4
"928","CHP_1_0106",5,5,0,42.93,9.9,"F",42.93,0,0,0,3,0,0.191167,34.932717,0,1,1665,4
"929","CHP_4_0048",5,1,4,42.84,3.4,"M",42.84,0,1,0,3,0,0.191217,34.955983,0,1,1732,4
"930","CHP_1_0150",3,2,1,90.96,15.91,"F",90.96,0,0,0,1,0,0.191233,34.932083,0,1,1669,4
"931","CHP_4_0086",3,3,0,55.01,3.65,"F",55.01,0,1,0,2,0,0.191367,34.954817,0,1,1729,4
"932","CHP_4_0036",4,3,1,42.67,6.23,"F",42.67,0,0,0,3,0,0.1914,34.957317,0,1,1719,4
"933","CHP_1_0117",2,2,0,50.93,12.9,"F",50.93,0,0,0,1,0,0.1915,34.930783,0,1,1648,4
"934","CHP_4_0032",6,3,3,45.92,2.81,"M",45.92,3,2,0,4,0,0.191633,34.958183,6,1,1713,4
"935","CHP_1_0116",10,5,5,61.94,1.9,"M",61.94,1,1,0,3,0,0.19165,34.930467,0,1,1645,4
"936","CHP_4_0038",5,3,2,43.09,2.14,"F",43.09,5,1,0,2,0,0.191733,34.957083,0,1,1719,4
"937","CHP_4_0042",3,1,2,96.87,42.84,"M",96.87,0,0,0,0,0,0.19195,34.956667,0,1,1718,4
"938","KBK_15_0019",8,4,4,45.86,3.84,"M",45.86,0,1,0,5,0,0.192,34.962467,0,1,1750,4
"939","KBK_15_0020",6,3,3,41.86,3.84,"M",41.86,6,1,0,3,0,0.19215,34.963017,0,1,1755,4
"940","CHP_4_0026",7,3,4,38.5,0.72,"M",38.5,0,2,1,5,1,0.1922,34.959133,0,1,1716,4
"941","CHP_4_0046",3,2,1,55.93,26.83,"F",55.93,2,0,0,0,0,0.192267,34.955717,0,1,1733,4
"942","KBK_15_0057",6,3,3,42.86,11.84,"M",42.86,0,0,0,4,0,0.192333,34.967617,0,1,1787,4
"943","CHP_4_0030",5,3,2,65.77,5.23,"M",65.77,2,0,0,3,0,0.19235,34.958717,0,1,1700,4
"944","CHP_7_0101",4,3,1,72.94,6.9,"F",72.94,0,0,0,3,0,0.19235,34.932417,0,1,1632,4
"945","CHP_1_0144",6,3,3,45.93,2.9,"M",45.93,0,1,0,4,0,0.19235,34.92775,0,1,1602,4
"946","KBK_15_0058",2,2,0,73.88,17.84,"F",73.88,0,0,0,1,0,0.1924,34.96785,0,1,1784,4
"947","KBK_15_0059",5,3,2,16.84,3.84,NA,NA,0,1,0,5,0,0.192467,34.967933,0,1,1787,4
"948","CHP_1_0145",8,5,3,43.93,0.9,"M",43.93,0,1,1,6,0,0.192567,34.9278,0,1,1603,4
"949","KBK_15_0018",5,3,2,25.85,1.83,"M",25.85,0,1,0,2,1,0.1926,34.962983,0,1,1752,5
"950","KBK_12_0032",2,1,1,53.86,49.86,"M",53.86,0,0,0,0,0,0.192633,34.965967,0,1,1781,4
"951","KBK_15_0017",5,2,3,60.87,9.84,"M",60.87,0,0,0,2,0,0.19265,34.963017,0,1,1754,5
"952","CHP_7_0103",1,1,0,60.93,60.93,"F",60.93,0,0,0,0,0,0.192717,34.9325,0,1,1649,4
"953","KBK_12_0024",9,4,5,40.85,0.82,"M",40.85,4,1,1,5,0,0.192733,34.970683,0,1,1800,5
"954","CHP_1_0146",4,3,1,80.95,7.9,"F",80.95,0,0,0,1,0,0.19275,34.927733,0,1,1603,4
"955","CHP_7_0102",1,1,0,61.93,61.93,"F",61.93,0,0,0,0,0,0.192783,34.932133,0,1,1646,4
