site,Sublocat,village,Collector,Subcode,Villcode,House,Elevation,Lat,Long,HHUNCODE,Sex,Age,HHhead,Relate,NetHH,HHspray,Lang
High,Tindinyo,Kaptoi B,DAVID K. KOSGEI,TIN,17,0108,1680.000000,0.172883,34.919500,TIN170108,M,0.91,N,7,Y,N,4.000000
High,Tindinyo,Mokoiywo,David sang,TIN,03,0078,1823.000000,0.172917,34.979583,TIN030078,M,13.60,N,7,N,N,4.000000
High,Tindinyo,Mokoiywo,David sang,TIN,03,0078,1823.000000,0.172917,34.979583,TIN030078,M,7.85,N,7,N,N,4.000000
High,Tindinyo,Mokoiywo,David sang,TIN,03,0078,1823.000000,0.172917,34.979583,TIN030078,M,0.35,N,7,N,N,4.000000
High,Tindinyo,Kaptoi B,DAVID K. KOSGEI,TIN,17,0105,1690.000000,0.172917,34.920700,TIN170105,M,65.96,Y,1,Y,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0102,1714.000000,0.172917,34.926217,TIN180102,M,72.96,Y,1,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0102,1714.000000,0.172917,34.926217,TIN180102,M,20.93,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0102,1714.000000,0.172917,34.926217,TIN180102,M,9.92,N,9,N,N,4.000000
High,Tindinyo,Kapchumba,DAVID K. KOSGEI,TIN,20,0104,1720.000000,0.173083,34.929683,TIN200104,M,21.93,N,14,N,N,4.000000
High,Tindinyo,Kapchumba,DAVID K. KOSGEI,TIN,20,0104,1720.000000,0.173083,34.929683,TIN200104,M,25.93,N,14,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0118,1703.000000,0.173100,34.925417,TIN190118,M,51.95,Y,1,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0118,1703.000000,0.173100,34.925417,TIN190118,M,18.93,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0118,1703.000000,0.173100,34.925417,TIN190118,M,20.93,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0103,1711.000000,0.173133,34.926050,TIN180103,M,22.93,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0103,1711.000000,0.173133,34.926050,TIN180103,M,20.93,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0103,1711.000000,0.173133,34.926050,TIN180103,M,15.92,N,9,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0103,1711.000000,0.173133,34.926050,TIN180103,M,5.92,N,9,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0117,1705.000000,0.173133,34.925517,TIN190117,M,25.93,Y,1,N,N,4.000000
High,Tindinyo,Mokoiywo,DAVID K. SANG,TIN,03,0070,1820.000000,0.173383,34.979367,TIN030070,M,42.74,Y,1,N,N,4.000000
High,Tindinyo,Mokoiywo,DAVID K. SANG,TIN,03,0070,1820.000000,0.173383,34.979367,TIN030070,M,20.23,N,7,N,N,4.000000
High,Tindinyo,Mokoiywo,DAVID K. SANG,TIN,03,0070,1820.000000,0.173383,34.979367,TIN030070,M,12.56,N,7,N,N,4.000000
High,Tindinyo,Mokoiywo,DAVID K. SANG,TIN,03,0070,1820.000000,0.173383,34.979367,TIN030070,M,9.88,N,7,N,N,4.000000
